contour_index,contour_type,area,centroid,interval_range
2,external,115.4,"(502, 804)","(97.34, 143.0]"
7,external,953.3,"(259, 779)","(941.64, 1322.48]"
11,internal,745.1,"(259, 781)","(622.3, 941.64]"
12,external,97.9,"(728, 584)","(97.34, 143.0]"
13,internal,60.5,"(728, 584)","(60.499, 97.34]"
14,external,122.7,"(954, 570)","(97.34, 143.0]"
15,internal,73.5,"(954, 570)","(60.499, 97.34]"
16,external,149.9,"(895, 563)","(143.0, 243.72]"
17,internal,86.6,"(895, 563)","(60.499, 97.34]"
19,external,150.2,"(924, 552)","(143.0, 243.72]"
20,internal,97.4,"(924, 552)","(97.34, 143.0]"
21,external,37227.9,"(827, 649)","(2530.05, 37227.9]"
27,internal,64.8,"(1241, 790)","(60.499, 97.34]"
28,internal,319.9,"(584, 779)","(243.72, 382.48]"
31,internal,289.8,"(716, 769)","(243.72, 382.48]"
38,internal,63.3,"(591, 743)","(60.499, 97.34]"
48,internal,2632.5,"(657, 782)","(2530.05, 37227.9]"
51,internal,492.8,"(534, 718)","(382.48, 622.3]"
55,internal,1326.7,"(918, 699)","(1322.48, 1773.48]"
63,internal,67.4,"(1037, 639)","(60.499, 97.34]"
65,internal,3534.4,"(1065, 715)","(2530.05, 37227.9]"
69,internal,1512.2,"(534, 656)","(1322.48, 1773.48]"
70,internal,1961.3,"(724, 688)","(1773.48, 2530.05]"
72,internal,2520.6,"(826, 668)","(1773.48, 2530.05]"
74,internal,535.0,"(905, 625)","(382.48, 622.3]"
75,internal,404.2,"(1134, 643)","(382.48, 622.3]"
77,internal,4042.6,"(1214, 704)","(2530.05, 37227.9]"
79,internal,1603.4,"(646, 650)","(1322.48, 1773.48]"
82,internal,97.2,"(1146, 605)","(60.499, 97.34]"
83,internal,103.4,"(383, 596)","(97.34, 143.0]"
85,internal,140.4,"(1182, 588)","(97.34, 143.0]"
92,internal,555.6,"(1088, 595)","(382.48, 622.3]"
93,internal,1349.0,"(1013, 609)","(1322.48, 1773.48]"
96,internal,142.2,"(372, 570)","(97.34, 143.0]"
98,internal,145.2,"(1234, 559)","(143.0, 243.72]"
99,internal,623.4,"(1253, 588)","(622.3, 941.64]"
100,internal,96.5,"(334, 562)","(60.499, 97.34]"
105,internal,90.5,"(361, 539)","(60.499, 97.34]"
106,internal,2087.7,"(461, 570)","(1773.48, 2530.05]"
109,internal,1582.7,"(1148, 540)","(1322.48, 1773.48]"
110,internal,2297.5,"(579, 546)","(1773.48, 2530.05]"
111,internal,168.1,"(499, 503)","(143.0, 243.72]"
112,internal,343.3,"(522, 476)","(243.72, 382.48]"
113,internal,1346.4,"(425, 484)","(1322.48, 1773.48]"
114,external,2284.7,"(1226, 455)","(1773.48, 2530.05]"
115,internal,2070.4,"(1226, 454)","(1773.48, 2530.05]"
116,external,154.9,"(1117, 295)","(143.0, 243.72]"
118,internal,81.7,"(1115, 296)","(60.499, 97.34]"
119,external,325.2,"(53, 290)","(243.72, 382.48]"
120,internal,243.6,"(53, 290)","(143.0, 243.72]"
